Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,22,435
2021-01-02,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,18,0
2021-01-03,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.3,Dirty,19,396
2021-01-04,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,17,449
2021-01-05,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,25,374
2021-01-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,17,352
2021-01-07,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.1,Dirty,27,481
2021-01-08,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Dirty,19,359
2021-01-09,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Dirty,27,398
2021-01-10,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,22,0
2021-01-11,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,22,462
2021-01-12,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Clean,26,418
2021-01-13,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,20,381
2021-01-14,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,1.8,Dirty,20,379
2021-01-15,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,15,384
2021-01-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,26,411
2021-01-17,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,22,457
2021-01-18,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,19,370
2021-01-19,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Dirty,22,481
2021-01-20,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,17,353
2021-01-21,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,23,419
2021-01-22,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,23,375
2021-01-23,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Dirty,15,487
2021-01-24,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,16,408
2021-01-25,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.1,Clean,25,499
2021-01-26,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,27,449
2021-01-27,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,26,424
2021-01-28,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,18,434
2021-01-29,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,16,409
2021-01-30,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,20,384
2021-01-31,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,24,447
2021-02-01,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.0,Clean,26,490
2021-02-02,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,19,381
2021-02-03,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,22,363
2021-02-04,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,21,425
2021-02-05,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,23,479
2021-02-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,19,454
2021-02-07,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Dirty,21,423
2021-02-08,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,27,452
2021-02-09,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,18,361
2021-02-10,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Dirty,22,374
2021-02-11,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,16,452
2021-02-12,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,21,486
2021-02-13,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Dirty,24,396
2021-02-14,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,22,421
2021-02-15,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,27,400
2021-02-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,24,455
2021-02-17,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,25,449
2021-02-18,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.4,Dirty,18,450
2021-02-19,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Clean,16,430
2021-02-20,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,15,489
2021-02-21,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,19,0
2021-02-22,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,20,398
2021-02-23,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,24,413
2021-02-24,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.5,Clean,25,412
2021-02-25,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Clean,26,470
2021-02-26,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,26,425
2021-02-27,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.0,Dirty,22,402
