Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Bareilly,United,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Clean,24,364
2021-01-02,Bareilly,United,On,Manual,On,Trip,Off,Off,1.9,Clean,27,473
2021-01-03,Bareilly,United,On,Auto,On,Normal,Off,Off,1.9,Dirty,23,443
2021-01-04,Bareilly,United,On,Auto,On,Normal,Off,Off,2.2,Clean,17,402
2021-01-05,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,17,435
2021-01-06,Bareilly,United,On,Manual,On,Normal,Off,Off,2.0,Dirty,17,428
2021-01-07,Bareilly,United,On,Manual,On,Trip,Off,Off,1.9,Clean,21,403
2021-01-08,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,25,445
2021-01-09,Bareilly,United,On,Manual,On,Trip,Off,Off,2.4,Clean,17,441
2021-01-10,Bareilly,United,On,Auto,On,Trip,Off,Off,2.3,Clean,16,353
2021-01-11,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,17,352
2021-01-12,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,18,403
2021-01-13,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,18,358
2021-01-14,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,22,361
2021-01-15,Bareilly,United,On,Manual,Off,Normal,Off,Off,0.0,Clean,17,0
2021-01-16,Bareilly,United,On,Manual,On,Trip,Off,Off,1.8,Clean,21,435
2021-01-17,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,16,487
2021-01-18,Bareilly,United,On,Manual,On,Normal,Off,Off,2.3,Clean,16,450
2021-01-19,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Dirty,27,492
2021-01-20,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,16,450
2021-01-21,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,24,450
2021-01-22,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,16,490
2021-01-23,Bareilly,United,On,Manual,On,Normal,Off,Off,1.8,Clean,26,458
2021-01-24,Bareilly,United,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Dirty,18,398
2021-01-25,Bareilly,United,On,Auto,On,Normal,Off,Off,2.1,Dirty,22,413
2021-01-26,Bareilly,United,On,Auto,On,Normal,Off,Off,2.1,Clean,21,499
2021-01-27,Bareilly,United,On,Auto,On,Normal,Off,Off,2.2,Clean,22,482
2021-01-28,Bareilly,United,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Clean,15,465
2021-01-29,Bareilly,United,On,Auto,On,Normal,Off,Off,2.0,Clean,17,432
2021-01-30,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,24,435
2021-01-31,Bareilly,United,On,Manual,On,Normal,Off,Off,2.1,Dirty,22,442
2021-02-01,Bareilly,United,On,Manual,Off,Normal,Off,Off,0.0,Clean,16,0
2021-02-02,Bareilly,United,On,Auto,Off,Normal,Off,Off,0.0,Clean,15,0
2021-02-03,Bareilly,United,On,Auto,On,Normal,Off,Off,1.9,Clean,15,420
2021-02-04,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,27,435
2021-02-05,Bareilly,United,On,Auto,On,Trip,Off,Off,2.1,Clean,20,439
2021-02-06,Bareilly,United,On,Auto,On,Normal,Off,Off,2.1,Clean,22,435
2021-02-07,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,24,469
2021-02-08,Bareilly,United,On,Auto,On,Normal,Off,Off,1.9,Dirty,22,430
2021-02-09,Bareilly,United,On,Auto,On,Normal,Off,Off,2.4,Clean,15,398
2021-02-10,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,20,494
2021-02-11,Bareilly,United,On,Manual,On,Normal,Off,Off,2.3,Clean,22,491
2021-02-12,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,23,439
2021-02-13,Bareilly,United,On,Manual,On,Normal,Off,Off,1.9,Clean,27,469
2021-02-14,Bareilly,United,On,Manual,On,Normal,Off,Off,1.8,Clean,27,424
2021-02-15,Bareilly,United,On,Auto,On,Normal,Off,Off,2.0,Clean,19,394
2021-02-16,Bareilly,United,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,15,435
2021-02-17,Bareilly,United,On,Manual,On,Trip,Scheduled,Scheduled,1.9,Clean,23,385
2021-02-18,Bareilly,United,On,Auto,On,Normal,Off,Off,2.2,Clean,21,448
2021-02-19,Bareilly,United,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Clean,25,417
2021-02-20,Bareilly,United,On,Auto,On,Normal,Off,Off,2.4,Clean,23,460
2021-02-21,Bareilly,United,On,Auto,On,Normal,Off,Off,1.8,Clean,23,448
2021-02-22,Bareilly,United,On,Auto,On,Normal,Off,Off,2.2,Clean,17,359
2021-02-23,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,16,368
2021-02-24,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,16,429
2021-02-25,Bareilly,United,On,Manual,On,Normal,Off,Off,2.0,Clean,27,386
2021-02-26,Bareilly,United,On,Auto,On,Normal,Off,Off,1.8,Clean,22,373
2021-02-27,Bareilly,United,On,Auto,On,Normal,Off,Off,2.0,Clean,23,467
2021-02-28,Bareilly,United,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,20,375
2021-03-01,Bareilly,United,On,Auto,On,Normal,Off,Off,1.9,Clean,24,439
2021-03-02,Bareilly,United,On,Auto,Off,Normal,Off,Off,0.0,Clean,20,0
2021-03-03,Bareilly,United,On,Manual,On,Normal,Off,Off,1.9,Clean,19,464
