Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM,Month,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,22,435.0,,,,,,,,,,
2021-01-02,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,18,0.0,,,,,,,,,,
2021-01-03,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.3,Dirty,19,396.0,,,,,,,,,,
2021-01-04,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,17,449.0,,,,,,,,,,
2021-01-05,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,25,374.0,,,,,,,,,,
2021-01-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,17,352.0,,,,,,,,,,
2021-01-07,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.1,Dirty,27,481.0,,,,,,,,,,
2021-01-08,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Dirty,19,359.0,,,,,,,,,,
2021-01-09,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Dirty,27,398.0,,,,,,,,,,
2021-01-10,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,22,0.0,,,,,,,,,,
2021-01-11,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,22,462.0,,,,,,,,,,
2021-01-12,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Clean,26,418.0,,,,,,,,,,
2021-01-13,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,20,381.0,,,,,,,,,,
2021-01-14,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,1.8,Dirty,20,379.0,,,,,,,,,,
2021-01-15,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,15,384.0,,,,,,,,,,
2021-01-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,26,411.0,,,,,,,,,,
2021-01-17,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,22,457.0,,,,,,,,,,
2021-01-18,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,19,370.0,,,,,,,,,,
2021-01-19,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Dirty,22,481.0,,,,,,,,,,
2021-01-20,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,17,353.0,,,,,,,,,,
2021-01-21,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,23,419.0,,,,,,,,,,
