Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,21,21,259,Low,Medium,278,28
2021-01-02,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,17,19,489,Low,High,322,32
2021-01-03,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,25,23,399,Low,High,337,32
2021-01-04,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,16,24,205,Medium,Medium,272,26
2021-01-05,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,17,24,181,Medium,Low,211,18
2021-01-06,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,16,24,181,Medium,Low,218,22
2021-01-07,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,25,21,229,Low,Medium,261,24
2021-01-08,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,25,20,188,Medium,Low,211,22
2021-01-09,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,22,23,434,Low,High,384,30
2021-01-10,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,26,20,318,Medium,High,316,54
2021-01-11,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,29,21,181,Medium,Low,223,24
2021-01-12,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,16,19,301,Low,High,343,37
2021-01-13,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,27,21,130,Medium,Low,212,17
2021-01-14,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,28,20,273,Medium,Medium,274,31
2021-01-15,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,23,24,188,Low,Low,231,15
2021-01-16,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,16,19,357,Low,High,391,37
2021-01-17,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,18,21,493,Low,High,341,34
2021-01-18,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,17,20,212,Low,Medium,278,24
2021-01-19,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,15,22,279,Medium,Medium,270,34
2021-01-20,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,17,19,115,Low,Low,238,12
2021-01-21,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,19,20,236,Low,Medium,285,22
2021-01-22,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,25,21,245,Low,Medium,264,27
2021-01-23,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,17,18,418,Low,High,305,39
2021-01-24,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,24,20,494,Low,High,355,38
2021-01-25,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,15,21,269,Medium,Medium,286,27
2021-01-26,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,27,22,323,Medium,High,389,40
2021-01-27,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,24,24,194,Low,Low,236,11
2021-01-28,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,23,20,180,Low,Low,216,19
2021-01-29,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,21,24,327,Low,High,302,30
2021-01-30,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,23,20,426,Low,High,343,33
2021-01-31,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,21,21,375,Low,High,334,37
2021-02-01,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,27,21,265,Medium,Medium,255,25
2021-02-02,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,25,24,348,Low,High,398,36
2021-02-03,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,29,24,264,Medium,Medium,295,28
2021-02-04,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,27,20,343,Medium,High,313,48
2021-02-05,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,25,22,235,Low,Medium,251,28
2021-02-06,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,19,23,480,Low,High,366,33
2021-02-07,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,26,23,463,Low,High,342,36
2021-02-08,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,22,24,195,Low,Low,245,12
2021-02-09,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,21,20,149,Low,Low,216,12
2021-02-10,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,29,20,294,Medium,Medium,283,27
2021-02-11,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,26,22,321,Low,High,398,30
2021-02-12,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,15,23,275,Medium,Medium,294,34
2021-02-13,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,28,23,326,Medium,High,361,41
2021-02-14,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,26,20,301,Medium,High,317,50
2021-02-15,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,15,21,309,Medium,High,366,48
2021-02-16,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,19,18,287,Low,Medium,282,21
2021-02-17,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,22,21,271,Low,Medium,266,28
2021-02-18,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,26,23,243,Low,Medium,274,20
2021-02-19,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,28,21,320,Medium,High,387,53
2021-02-20,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,25,21,442,Low,High,332,35
2021-02-21,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,24,22,337,Low,High,354,32
2021-02-22,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,18,24,295,Medium,Medium,251,29
2021-02-23,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,17,23,319,Medium,High,312,42
2021-02-24,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,19,21,134,Low,Low,230,11
2021-02-25,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,19,24,246,Medium,Medium,275,26
2021-02-26,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,29,23,199,Medium,Low,207,22
2021-02-27,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,16,24,425,Medium,High,345,51
2021-02-28,Bangalore,Marketcity,2,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,19,20,474,Low,High,393,38
2021-03-01,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,35,25,131,High,Low,220,23
2021-03-02,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,39,25,241,High,Medium,273,39
2021-03-03,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,42,28,285,High,Medium,290,34
2021-03-04,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,41,27,304,High,High,393,57
2021-03-05,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,37,22,325,High,High,378,81
2021-03-06,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,40,23,460,High,High,326,56
2021-03-07,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,41,30,489,High,High,386,70
2021-03-08,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,40,26,333,High,High,321,68
2021-03-09,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,38,23,155,High,Low,236,28
2021-03-10,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,35,22,275,High,Medium,262,36
2021-03-11,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,41,30,272,High,Medium,289,33
2021-03-12,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,31,23,139,Medium,Low,240,18
2021-03-13,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,39,24,314,High,High,341,60
2021-03-14,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,32,24,499,Medium,High,334,47
2021-03-15,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,40,25,112,High,Low,208,21
2021-03-16,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,42,27,232,High,Medium,270,38
2021-03-17,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,33,26,316,Medium,High,370,44
2021-03-18,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,30,23,173,Medium,Low,240,20
2021-03-19,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,30,24,302,Medium,High,355,50
2021-03-20,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,35,25,423,High,High,331,60
2021-03-21,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,38,24,348,High,High,327,89
2021-03-22,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,42,28,146,High,Low,243,26
2021-03-23,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,38,22,146,High,Low,228,28
2021-03-24,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,38,26,119,High,Low,245,27
2021-03-25,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,35,22,259,High,Medium,292,33
2021-03-26,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,44,29,317,High,High,306,78
2021-03-27,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,31,23,496,Medium,High,346,41
2021-03-28,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,38,26,379,High,High,341,63
2021-03-29,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,41,26,105,High,Low,217,21
2021-03-30,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,35,22,300,High,Medium,268,37
2021-03-31,Bangalore,Marketcity,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,44,30,156,High,Low,233,22
2021-04-01,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,37,24,342,High,High,313,85
2021-04-02,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,30,21,222,Medium,Medium,262,27
2021-04-03,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,41,31,331,High,High,334,55
2021-04-04,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,34,26,374,Medium,High,387,49
2021-04-05,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,40,26,127,High,Low,227,26
2021-04-06,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,35,23,242,High,Medium,261,30
2021-04-07,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,39,24,187,High,Low,202,22
2021-04-08,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,37,24,176,High,Low,228,24
2021-04-09,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,41,29,312,High,High,341,76
2021-04-10,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,31,24,494,Medium,High,370,43
2021-04-11,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,33,26,347,Medium,High,397,50
2021-04-12,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,32,25,294,Medium,Medium,250,26
2021-04-13,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,43,26,122,High,Low,238,25
2021-04-14,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,44,30,341,High,High,386,75
2021-04-15,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,43,28,300,High,Medium,297,38
2021-04-16,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Summer,41,29,149,High,Low,221,21
2021-04-17,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,39,26,309,High,High,380,62
2021-04-18,Bangalore,Marketcity,4,ON,Auto,Normal,OFF,Off,Off,1,Summer,Summer,39,23,303,High,High,377,73
