Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.1,Dirty,18,411
2021-01-02,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.1,Clean,21,477
2021-01-03,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,22,415
2021-01-04,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.9,Clean,18,456
2021-01-05,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.4,Clean,17,416
2021-01-06,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Dirty,26,432
2021-01-07,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.2,Clean,16,382
2021-01-08,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Dirty,16,441
2021-01-09,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,16,478
2021-01-10,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,17,431
2021-01-11,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,2.4,Clean,24,369
2021-01-12,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.8,Clean,22,482
2021-01-13,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,21,482
2021-01-14,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.8,Clean,26,426
2021-01-15,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,16,487
2021-01-16,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,18,484
2021-01-17,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.0,Clean,19,423
2021-01-18,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,27,389
2021-01-19,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Dirty,15,489
2021-01-20,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.3,Clean,16,434
2021-01-21,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,1.9,Clean,19,480
2021-01-22,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,1.9,Dirty,22,370
2021-01-23,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,15,484
2021-01-24,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.0,Dirty,19,498
2021-01-25,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,27,495
2021-01-26,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Dirty,25,484
2021-01-27,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,17,386
2021-01-28,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.4,Clean,27,445
2021-01-29,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,17,403
2021-01-30,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,27,499
2021-01-31,Lucknow,Palassio,On,Auto,Off,Normal,Off,Off,0.0,Dirty,24,0
2021-02-01,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.2,Clean,26,368
2021-02-02,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Dirty,23,481
2021-02-03,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,27,418
2021-02-04,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,23,422
2021-02-05,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,18,405
2021-02-06,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,19,448
2021-02-07,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.3,Clean,25,422
2021-02-08,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,17,436
2021-02-09,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,25,477
2021-02-10,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.0,Clean,15,420
2021-02-11,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,19,402
2021-02-12,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Clean,19,499
2021-02-13,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.3,Clean,21,428
2021-02-14,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Dirty,22,414
2021-02-15,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.1,Clean,25,416
2021-02-16,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,16,447
2021-02-17,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.9,Clean,26,401
2021-02-18,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.4,Dirty,15,376
2021-02-19,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.2,Clean,24,435
2021-02-20,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.5,Dirty,20,403
2021-02-21,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,26,431
2021-02-22,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,1.9,Clean,24,493
2021-02-23,Lucknow,Palassio,On,Auto,Off,Normal,Off,Off,0.0,Clean,17,0
2021-02-24,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Clean,21,489
2021-02-25,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,18,445
2021-02-26,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.4,Clean,17,372
2021-02-27,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,16,498
2021-02-28,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.1,Clean,15,387
2021-03-01,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,18,455
2021-03-02,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Clean,22,386
2021-03-03,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Dirty,24,467
2021-03-04,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Clean,17,434
2021-03-05,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,18,393
2021-03-06,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,15,492
2021-03-07,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,27,414
2021-03-08,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,24,453
2021-03-09,Lucknow,Palassio,On,Auto,Off,Normal,Off,Off,0.0,Clean,26,0
2021-03-10,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Clean,26,372
2021-03-11,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,1.9,Clean,20,398
2021-03-12,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,23,370
2021-03-13,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,16,350
2021-03-14,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.2,Dirty,18,367
2021-03-15,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.5,Dirty,24,432
2021-03-16,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,2.0,Clean,22,435
2021-03-17,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,21,496
2021-03-18,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,25,453
2021-03-19,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,22,350
2021-03-20,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.2,Clean,16,437
2021-03-21,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.3,Clean,27,424
2021-03-22,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Dirty,26,407
2021-03-23,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,24,381
2021-03-24,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,21,402
2021-03-25,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,22,362
2021-03-26,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,23,391
2021-03-27,Lucknow,Palassio,On,Auto,Off,Normal,Off,Off,0.0,Clean,20,0
2021-03-28,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.3,Clean,16,498
2021-03-29,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,22,493
2021-03-30,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,26,426
2021-03-31,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,20,398
2021-04-01,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,15,472
2021-04-02,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,2.5,Clean,21,416
2021-04-03,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.9,Clean,23,406
2021-04-04,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.9,Clean,17,433
2021-04-05,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.0,Clean,25,403
2021-04-06,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,25,377
2021-04-07,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,18,413
2021-04-08,Lucknow,Palassio,On,Manual,Off,Normal,Off,Off,0.0,Dirty,18,0
2021-04-09,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,15,445
2021-04-10,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Dirty,17,478
2021-04-11,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.8,Clean,20,407
2021-04-12,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.9,Clean,26,429
2021-04-13,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Dirty,20,390
2021-04-14,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.1,Clean,24,354
2021-04-15,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,2.3,Clean,27,388
2021-04-16,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,27,365
2021-04-17,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.5,Clean,18,376
2021-04-18,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Dirty,22,463
2021-04-19,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,22,386
2021-04-20,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.2,Clean,25,397
2021-04-21,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,26,453
2021-04-22,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.1,Dirty,16,397
2021-04-23,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.2,Clean,23,497
2021-04-24,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,27,499
2021-04-25,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.5,Clean,22,498
2021-04-26,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,24,437
2021-04-27,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,21,399
2021-04-28,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.5,Dirty,25,355
2021-04-29,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,24,402
2021-04-30,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.3,Clean,16,414
2021-05-01,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,25,457
2021-05-02,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,20,432
2021-05-03,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.5,Clean,18,456
2021-05-04,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,26,415
2021-05-05,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,2.0,Clean,20,377
2021-05-06,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.3,Clean,27,464
2021-05-07,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,15,460
2021-05-08,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,17,358
2021-05-09,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.0,Dirty,23,470
2021-05-10,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.2,Clean,27,430
2021-05-11,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.0,Clean,19,469
2021-05-12,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.8,Dirty,18,427
2021-05-13,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,24,398
2021-05-14,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.1,Clean,21,358
2021-05-15,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,27,422
2021-05-16,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.8,Dirty,19,400
2021-05-17,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,15,428
2021-05-18,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,15,353
2021-05-19,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,19,433
2021-05-20,Lucknow,Palassio,On,Manual,Off,Normal,Off,Off,0.0,Clean,22,0
2021-05-21,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.0,Clean,16,439
2021-05-22,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.3,Dirty,22,397
2021-05-23,Lucknow,Palassio,On,Manual,Off,Normal,Off,Off,0.0,Clean,21,0
2021-05-24,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,23,352
2021-05-25,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.5,Dirty,18,358
2021-05-26,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,19,474
2021-05-27,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.4,Clean,18,470
2021-05-28,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Dirty,22,447
2021-05-29,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,15,456
2021-05-30,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,22,487
2021-05-31,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,22,421
2021-06-01,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.0,Dirty,18,484
2021-06-02,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,26,458
2021-06-03,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,18,400
2021-06-04,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.3,Clean,18,352
2021-06-05,Lucknow,Palassio,On,Manual,Off,Normal,Off,Off,0.0,Clean,23,0
2021-06-06,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Dirty,23,429
2021-06-07,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.5,Clean,21,440
2021-06-08,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.1,Clean,26,496
2021-06-09,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,26,412
2021-06-10,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,20,497
2021-06-11,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.3,Dirty,15,454
2021-06-12,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.9,Dirty,18,427
2021-06-13,Lucknow,Palassio,On,Auto,Off,Normal,Off,Off,0.0,Clean,20,0
2021-06-14,Lucknow,Palassio,On,Manual,On,Trip,Off,Off,1.9,Dirty,15,382
2021-06-15,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,1.9,Clean,19,359
2021-06-16,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,22,427
2021-06-17,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,24,491
2021-06-18,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,19,458
2021-06-19,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Dirty,22,363
2021-06-20,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.8,Clean,25,454
2021-06-21,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.9,Clean,20,480
2021-06-22,Lucknow,Palassio,On,Auto,On,Trip,Off,Off,2.3,Clean,27,472
2021-06-23,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,19,435
2021-06-24,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,2.3,Clean,16,384
2021-06-25,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.1,Clean,22,375
2021-06-26,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,22,401
2021-06-27,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,21,419
2021-06-28,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,1.9,Clean,22,460
2021-06-29,Lucknow,Palassio,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,25,483
2021-06-30,Lucknow,Palassio,On,Auto,On,Normal,Off,Off,1.9,Clean,15,481
2021-07-01,Lucknow,Palassio,On,Manual,On,Normal,Off,Off,2.3,Clean,16,409
2021-07-02,Lucknow,Palassio,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,15,447
2021-07-03,Lucknow,Palassio,On,Auto,On,Trip,Scheduled,Scheduled,2.4,Clean,22,459
2021-07-04,Lucknow,Palassio,On,Manual,On,Trip,Scheduled,Scheduled,2.2,Clean,23,459
