Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,18,403
2021-01-02,Lucknow,United,On,Manual,On,Normal,Off,Off,2.2,Clean,19,483
2021-01-03,Lucknow,United,On,Auto,On,Trip,Off,Off,2.0,Dirty,27,370
2021-01-04,Lucknow,United,On,Auto,On,Normal,Off,Off,2.3,Dirty,19,419
2021-01-05,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,17,382
2021-01-06,Lucknow,United,On,Manual,On,Normal,Off,Off,2.0,Dirty,19,411
2021-01-07,Lucknow,United,On,Manual,On,Normal,Off,Off,2.4,Clean,23,409
2021-01-08,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,21,495
2021-01-09,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,17,460
2021-01-10,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,24,479
2021-01-11,Lucknow,United,On,Auto,On,Normal,Off,Off,1.8,Clean,25,430
2021-01-12,Lucknow,United,On,Auto,On,Normal,Off,Off,2.5,Clean,26,482
2021-01-13,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,26,384
2021-01-14,Lucknow,United,On,Auto,On,Normal,Off,Off,2.5,Clean,24,409
2021-01-15,Lucknow,United,On,Auto,On,Trip,Off,Off,2.3,Dirty,22,494
2021-01-16,Lucknow,United,On,Manual,On,Normal,Off,Off,1.9,Clean,25,472
2021-01-17,Lucknow,United,On,Manual,On,Trip,Scheduled,Scheduled,1.9,Clean,27,378
2021-01-18,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,25,387
2021-01-19,Lucknow,United,On,Manual,On,Normal,Off,Off,2.2,Clean,22,410
2021-01-20,Lucknow,United,On,Auto,On,Trip,Scheduled,Scheduled,2.4,Clean,22,396
2021-01-21,Lucknow,United,On,Auto,Off,Normal,Off,Off,0.0,Clean,17,0
2021-01-22,Lucknow,United,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Clean,23,482
2021-01-23,Lucknow,United,On,Auto,On,Normal,Off,Off,2.4,Clean,21,370
2021-01-24,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,24,392
2021-01-25,Lucknow,United,On,Auto,On,Normal,Off,Off,2.0,Clean,25,394
2021-01-26,Lucknow,United,On,Manual,On,Normal,Off,Off,1.8,Clean,19,499
2021-01-27,Lucknow,United,On,Auto,On,Trip,Scheduled,Scheduled,2.1,Clean,18,360
2021-01-28,Lucknow,United,On,Auto,On,Trip,Scheduled,Scheduled,2.3,Dirty,17,451
2021-01-29,Lucknow,United,On,Auto,On,Normal,Off,Off,2.4,Clean,15,492
2021-01-30,Lucknow,United,On,Manual,On,Trip,Off,Off,2.3,Clean,26,414
2021-01-31,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Dirty,25,419
2021-02-01,Lucknow,United,On,Auto,On,Normal,Off,Off,1.9,Clean,15,404
2021-02-02,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,20,452
2021-02-03,Lucknow,United,On,Manual,On,Trip,Scheduled,Scheduled,1.8,Clean,23,479
2021-02-04,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,20,429
2021-02-05,Lucknow,United,On,Auto,On,Normal,Off,Off,1.8,Clean,15,406
2021-02-06,Lucknow,United,On,Manual,On,Normal,Off,Off,2.5,Clean,20,402
2021-02-07,Lucknow,United,On,Auto,On,Trip,Scheduled,Scheduled,2.1,Clean,18,472
2021-02-08,Lucknow,United,On,Auto,Off,Normal,Off,Off,0.0,Clean,21,0
2021-02-09,Lucknow,United,On,Manual,On,Normal,Off,Off,2.0,Clean,21,375
2021-02-10,Lucknow,United,On,Auto,Off,Normal,Off,Off,0.0,Clean,18,0
2021-02-11,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,17,412
2021-02-12,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,15,445
2021-02-13,Lucknow,United,On,Auto,On,Normal,Off,Off,1.9,Clean,19,421
2021-02-14,Lucknow,United,On,Auto,On,Trip,Off,Off,1.9,Clean,21,426
2021-02-15,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,16,377
2021-02-16,Lucknow,United,On,Auto,On,Trip,Off,Off,2.3,Clean,19,363
2021-02-17,Lucknow,United,On,Auto,On,Normal,Off,Off,2.3,Clean,15,495
2021-02-18,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,23,489
2021-02-19,Lucknow,United,On,Auto,On,Trip,Off,Off,2.2,Clean,27,363
2021-02-20,Lucknow,United,On,Manual,On,Normal,Off,Off,2.2,Clean,17,486
2021-02-21,Lucknow,United,On,Auto,On,Normal,Off,Off,2.3,Clean,24,478
2021-02-22,Lucknow,United,On,Auto,On,Normal,Off,Off,1.8,Clean,21,420
2021-02-23,Lucknow,United,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,27,401
2021-02-24,Lucknow,United,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,24,440
2021-02-25,Lucknow,United,On,Manual,On,Trip,Off,Off,2.2,Clean,20,460
2021-02-26,Lucknow,United,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Dirty,26,365
