Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Mumbai,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,15,0
2021-01-02,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,27,400
2021-01-03,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Dirty,15,367
2021-01-04,Mumbai,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,17,0
2021-01-05,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,19,397
2021-01-06,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,15,486
2021-01-07,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,19,363
2021-01-08,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,26,439
2021-01-09,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,23,456
2021-01-10,Mumbai,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,20,0
2021-01-11,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,18,490
2021-01-12,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,15,494
2021-01-13,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,24,468
2021-01-14,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Clean,20,369
2021-01-15,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Dirty,26,458
2021-01-16,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,21,376
2021-01-17,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,16,366
2021-01-18,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,25,474
2021-01-19,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,23,475
2021-01-20,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,1.9,Dirty,16,429
2021-01-21,Mumbai,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.1,Clean,15,355
2021-01-22,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.5,Clean,27,439
2021-01-23,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.8,Clean,25,376
2021-01-24,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Dirty,24,436
2021-01-25,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,2.1,Clean,23,397
2021-01-26,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,23,486
2021-01-27,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,22,439
2021-01-28,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,15,392
2021-01-29,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,24,430
2021-01-30,Mumbai,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Dirty,17,0
2021-01-31,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,20,441
2021-02-01,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Dirty,16,449
2021-02-02,Mumbai,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Clean,15,455
2021-02-03,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,15,356
2021-02-04,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,22,365
2021-02-05,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Dirty,16,417
2021-02-06,Mumbai,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.1,Clean,21,398
2021-02-07,Mumbai,Marketcity,On,Auto,On,Trip,Off,Off,2.2,Clean,18,424
2021-02-08,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,17,442
2021-02-09,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,15,490
2021-02-10,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,2.1,Clean,17,350
2021-02-11,Mumbai,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.0,Dirty,24,476
2021-02-12,Mumbai,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,1.9,Clean,26,396
2021-02-13,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,24,458
2021-02-14,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,25,463
2021-02-15,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,27,374
2021-02-16,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,26,468
2021-02-17,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,20,454
2021-02-18,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Dirty,25,365
2021-02-19,Mumbai,Marketcity,On,Auto,On,Trip,Off,Off,2.3,Clean,23,464
2021-02-20,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,21,365
2021-02-21,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,21,457
2021-02-22,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,2.2,Clean,25,404
2021-02-23,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Dirty,27,392
2021-02-24,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,15,458
2021-02-25,Mumbai,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,16,0
2021-02-26,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,16,455
2021-02-27,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Clean,20,352
2021-02-28,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,15,431
2021-03-01,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,25,397
2021-03-02,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,27,355
2021-03-03,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,22,405
2021-03-04,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,1.8,Clean,24,442
2021-03-05,Mumbai,Marketcity,On,Auto,On,Trip,Off,Off,2.3,Clean,25,379
2021-03-06,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,22,418
2021-03-07,Mumbai,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.4,Clean,24,398
2021-03-08,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,18,449
2021-03-09,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Dirty,18,491
2021-03-10,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,20,465
2021-03-11,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,2.4,Clean,20,361
2021-03-12,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,26,394
2021-03-13,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,18,365
2021-03-14,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,22,411
2021-03-15,Mumbai,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.3,Clean,19,495
2021-03-16,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,1.9,Clean,27,363
2021-03-17,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,1.9,Clean,25,487
2021-03-18,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,22,482
2021-03-19,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Dirty,21,383
2021-03-20,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,16,403
2021-03-21,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,1.8,Clean,19,453
2021-03-22,Mumbai,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,22,434
2021-03-23,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,18,390
2021-03-24,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,2.5,Clean,20,384
2021-03-25,Mumbai,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,21,352
2021-03-26,Mumbai,Marketcity,On,Manual,On,Trip,Off,Off,2.3,Clean,18,472
2021-03-27,Mumbai,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,15,435
2021-03-28,Mumbai,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,20,367
