Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM
2021-01-01,Pune,Marketcity,On,Manual,On,Trip,Off,Off,2.3,Clean,26,358
2021-01-02,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,18,380
2021-01-03,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,25,438
2021-01-04,Pune,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,25,0
2021-01-05,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,16,420
2021-01-06,Pune,Marketcity,On,Manual,On,Normal,Off,Off,1.9,Dirty,27,413
2021-01-07,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,18,445
2021-01-08,Pune,Marketcity,On,Auto,On,Trip,Off,Off,2.4,Clean,20,385
2021-01-09,Pune,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,19,467
2021-01-10,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,25,480
2021-01-11,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,20,363
2021-01-12,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,27,452
2021-01-13,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Dirty,26,464
2021-01-14,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,15,360
2021-01-15,Pune,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,17,0
2021-01-16,Pune,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,23,477
2021-01-17,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,23,426
2021-01-18,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,16,352
2021-01-19,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,18,466
2021-01-20,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,16,480
2021-01-21,Pune,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Dirty,17,455
2021-01-22,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Dirty,17,459
2021-01-23,Pune,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,16,393
2021-01-24,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,22,402
2021-01-25,Pune,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Dirty,16,494
2021-01-26,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,16,382
2021-01-27,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.5,Clean,27,424
2021-01-28,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Dirty,26,392
2021-01-29,Pune,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,19,493
2021-01-30,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,21,432
2021-01-31,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,18,461
2021-02-01,Pune,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,16,390
2021-02-02,Pune,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,16,0
2021-02-03,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.5,Dirty,19,376
2021-02-04,Pune,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Dirty,19,352
2021-02-05,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,19,490
2021-02-06,Pune,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.2,Clean,27,411
2021-02-07,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,21,434
2021-02-08,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,22,366
2021-02-09,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,26,410
2021-02-10,Pune,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,20,351
2021-02-11,Pune,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.1,Clean,15,414
2021-02-12,Pune,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,27,385
2021-02-13,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,15,428
2021-02-14,Pune,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Dirty,27,404
