Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,29,20,266,Medium,Medium,296,33
2021-01-02,Bangalore,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,19,24,328,Medium,High,351,51
2021-01-03,Bangalore,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,16,18,464,Low,High,305,38
2021-01-04,Bangalore,Marketcity,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Summer,16,21,199,Medium,Low,221,15
2021-01-05,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,15,23,170,Medium,Low,207,22
2021-01-06,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,19,20,164,Low,Low,236,19
2021-01-07,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,24,20,236,Low,Medium,250,29
2021-01-08,Bangalore,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,27,20,181,Medium,Low,245,19
2021-01-09,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,24,21,326,Low,High,341,36
2021-01-10,Bangalore,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,17,24,471,Medium,High,341,45
2021-01-11,Bangalore,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,18,20,210,Low,Medium,262,20
2021-01-12,Bangalore,Marketcity,1,ON,Manual,Normal,OFF,Off,Off,0,Winter,Summer,20,18,205,Low,Medium,277,28
2021-01-13,Bangalore,Marketcity,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,28,20,154,Medium,Low,228,17
2021-01-14,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,28,21,247,Medium,Medium,279,26
2021-01-15,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,19,21,120,Low,Low,212,17
2021-01-16,Bangalore,Marketcity,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,20,22,433,Low,High,359,36
2021-01-17,Bangalore,Marketcity,1,ON,Manual,Normal,OFF,Off,Off,1,Winter,Summer,18,21,335,Low,High,322,36
2021-01-18,Bangalore,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,27,20,109,Medium,Low,233,18
