Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,12,24,318,High,High,338,83
2021-01-02,Bareilly,United,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,10,15,374,Medium,High,333,43
2021-01-03,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,11,18,389,Medium,High,372,48
2021-01-04,Bareilly,United,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,17,24,217,Medium,Medium,279,33
2021-01-05,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,15,24,171,Medium,Low,205,21
2021-01-06,Bareilly,United,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,10,17,346,Medium,High,391,48
2021-01-07,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,13,21,158,Medium,Low,223,18
2021-01-08,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,13,24,207,High,Medium,262,39
2021-01-09,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,17,19,426,Low,High,335,39
2021-01-10,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,10,15,370,Medium,High,334,54
2021-01-11,Bareilly,United,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,11,22,241,High,Medium,261,36
2021-01-12,Bareilly,United,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,17,18,329,Low,High,339,31
2021-01-13,Bareilly,United,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,7,15,136,Medium,Low,207,23
2021-01-14,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,5,17,129,High,Low,202,21
2021-01-15,Bareilly,United,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,13,21,319,Medium,High,361,46
2021-01-16,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,14,22,344,Medium,High,329,54
2021-01-17,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,6,15,462,Medium,High,317,43
2021-01-18,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,16,21,199,Medium,Low,210,19
2021-01-19,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,6,17,101,High,Low,221,23
2021-01-20,Bareilly,United,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Winter,6,15,135,Medium,Low,226,22
2021-01-21,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,7,17,121,High,Low,226,29
2021-01-22,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,9,10,317,Low,High,377,37
2021-01-23,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,8,14,465,Medium,High,331,42
2021-01-24,Bareilly,United,1,ON,Manual,Normal,OFF,Off,Off,1,Winter,Winter,8,14,405,Medium,High,383,46
2021-01-25,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,15,21,276,Medium,Medium,276,30
2021-01-26,Bareilly,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,10,15,244,Medium,Medium,251,29
2021-01-27,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,13,19,152,Medium,Low,246,23
2021-01-28,Bareilly,United,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Winter,9,12,306,Low,High,398,33
2021-01-29,Bareilly,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,15,20,152,Medium,Low,215,17
