Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Chennai,Marketcity,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Summer,26,24,175,Low,Low,201,19
2021-01-02,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,27,20,478,Medium,High,340,44
2021-01-03,Chennai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,27,22,363,Medium,High,310,46
2021-01-04,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,25,22,142,Low,Low,208,13
2021-01-05,Chennai,Marketcity,1,ON,Manual,Normal,OFF,Off,Off,0,Winter,Summer,20,19,109,Low,Low,215,18
2021-01-06,Chennai,Marketcity,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,27,21,238,Medium,Medium,254,30
2021-01-07,Chennai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,28,20,178,Medium,Low,240,24
2021-01-08,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,19,18,151,Low,Low,233,14
2021-01-09,Chennai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,23,24,369,Low,High,306,33
2021-01-10,Chennai,Marketcity,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Summer,17,18,416,Low,High,385,39
2021-01-11,Chennai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,24,22,102,Low,Low,233,17
2021-01-12,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,17,21,324,Low,High,345,30
2021-01-13,Chennai,Marketcity,1,ON,Auto,Trip,OFF,Off,Off,0,Winter,Summer,23,23,344,Low,High,315,39
2021-01-14,Chennai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,29,20,193,Medium,Low,248,22
2021-01-15,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,15,23,133,Medium,Low,231,23
2021-01-16,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,26,24,489,Low,High,333,31
2021-01-17,Chennai,Marketcity,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Summer,21,23,488,Low,High,354,36
2021-01-18,Chennai,Marketcity,1,ON,Auto,Trip,ON,Scheduled,Scheduled,0,Winter,Summer,25,22,147,Low,Low,202,13
2021-01-19,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,17,18,169,Low,Low,225,12
2021-01-20,Chennai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,24,21,344,Low,High,333,36
2021-01-21,Chennai,Marketcity,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,26,20,127,Medium,Low,206,19
