Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Chennai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,22,23,294,Low,Medium,259,24
2021-01-02,Chennai,Paladium,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,20,24,498,Low,High,367,39
2021-01-03,Chennai,Paladium,1,ON,Manual,Trip,ON,Off,Off,1,Winter,Summer,27,20,382,Medium,High,344,53
2021-01-04,Chennai,Paladium,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,19,24,205,Medium,Medium,280,27
2021-01-05,Chennai,Paladium,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,20,23,144,Low,Low,245,15
2021-01-06,Chennai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,27,21,137,Medium,Low,206,15
2021-01-07,Chennai,Paladium,1,ON,Auto,Trip,OFF,Off,Off,0,Winter,Summer,22,20,347,Low,High,354,37
2021-01-08,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,23,24,254,Low,Medium,259,25
2021-01-09,Chennai,Paladium,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Summer,24,22,498,Low,High,369,38
2021-01-10,Chennai,Paladium,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,24,20,414,Low,High,321,36
2021-01-11,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,18,22,324,Low,High,364,32
2021-01-12,Chennai,Paladium,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,16,19,274,Low,Medium,251,22
2021-01-13,Chennai,Paladium,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,23,21,181,Low,Low,230,17
2021-01-14,Chennai,Paladium,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,27,22,179,Medium,Low,242,19
2021-01-15,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,26,22,237,Low,Medium,275,22
2021-01-16,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,16,24,395,Medium,High,374,41
2021-01-17,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,15,20,310,Medium,High,304,48
2021-01-18,Chennai,Paladium,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,23,23,129,Low,Low,238,16
2021-01-19,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,15,21,214,Medium,Medium,270,26
2021-01-20,Chennai,Paladium,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,22,24,257,Low,Medium,283,22
2021-01-21,Chennai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,25,20,328,Medium,High,304,49
2021-01-22,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,28,24,249,Low,Medium,294,22
2021-01-23,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,21,20,392,Low,High,345,38
2021-01-24,Chennai,Paladium,1,ON,Auto,Trip,ON,Scheduled,Scheduled,1,Winter,Summer,25,21,451,Low,High,363,38
2021-01-25,Chennai,Paladium,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,24,20,229,Low,Medium,259,24
2021-01-26,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,29,21,111,Medium,Low,218,16
2021-01-27,Chennai,Paladium,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,24,24,178,Low,Low,205,14
2021-01-28,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,20,20,237,Low,Medium,287,20
2021-01-29,Chennai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,20,20,191,Low,Low,235,17
2021-01-30,Chennai,Paladium,1,ON,Auto,Normal,ON,Scheduled,Scheduled,1,Winter,Summer,26,22,463,Low,High,387,37
2021-01-31,Chennai,Paladium,1,ON,Auto,Trip,ON,Off,Off,1,Winter,Summer,28,20,381,Medium,High,302,41
2021-02-01,Chennai,Paladium,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,29,24,219,Medium,Medium,277,34
