Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Lucknow,Palassio,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,8,13,345,Medium,High,378,51
2021-01-02,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,13,19,454,Medium,High,314,50
2021-01-03,Lucknow,Palassio,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,6,11,375,Medium,High,393,52
2021-01-04,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,12,20,298,Medium,Medium,258,30
2021-01-05,Lucknow,Palassio,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Winter,5,14,326,Medium,High,369,54
2021-01-06,Lucknow,Palassio,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,11,18,239,Medium,Medium,268,30
2021-01-07,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,14,22,244,Medium,Medium,259,33
2021-01-08,Lucknow,Palassio,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,17,18,146,Low,Low,235,16
2021-01-09,Lucknow,Palassio,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,5,15,389,High,High,351,74
2021-01-10,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,13,21,410,Medium,High,350,41
2021-01-11,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,10,17,147,Medium,Low,241,23
2021-01-12,Lucknow,Palassio,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,7,11,100,Low,Low,200,19
2021-01-13,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,16,21,119,Medium,Low,200,18
2021-01-14,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,16,19,325,Low,High,392,32
2021-01-15,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,7,14,311,Medium,High,369,45
2021-01-16,Lucknow,Palassio,1,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,15,19,416,Low,High,305,36
2021-01-17,Lucknow,Palassio,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Winter,15,18,390,Low,High,368,36
2021-01-18,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,10,16,332,Medium,High,369,44
2021-01-19,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,15,20,308,Medium,High,376,52
2021-01-20,Lucknow,Palassio,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Winter,16,22,275,Medium,Medium,290,31
2021-01-21,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,8,12,118,Low,Low,223,14
2021-01-22,Lucknow,Palassio,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Winter,9,15,308,Medium,High,306,48
2021-01-23,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,5,10,324,Medium,High,335,48
2021-01-24,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,5,13,423,Medium,High,364,48
2021-01-25,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,15,22,233,Medium,Medium,252,31
2021-01-26,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,13,19,195,Medium,Low,215,23
2021-01-27,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,17,24,111,Medium,Low,247,23
2021-01-28,Lucknow,Palassio,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,17,21,177,Low,Low,241,13
2021-01-29,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,14,21,168,Medium,Low,230,19
2021-01-30,Lucknow,Palassio,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,11,23,436,High,High,385,81
2021-01-31,Lucknow,Palassio,1,ON,Auto,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,6,15,413,Medium,High,370,45
2021-02-01,Lucknow,Palassio,2,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,13,23,154,High,Low,225,22
2021-02-02,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,11,23,115,High,Low,240,26
2021-02-03,Lucknow,Palassio,2,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,12,24,295,High,Medium,251,32
2021-02-04,Lucknow,Palassio,2,ON,Auto,Normal,OFF,Off,Off,0,Winter,Winter,5,15,264,High,Medium,291,39
2021-02-05,Lucknow,Palassio,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,17,23,221,Medium,Medium,285,31
2021-02-06,Lucknow,Palassio,2,ON,Auto,Trip,ON,Off,Off,1,Winter,Winter,6,15,433,Medium,High,334,44
2021-02-07,Lucknow,Palassio,2,ON,Auto,Trip,ON,Off,Off,1,Winter,Winter,10,17,433,Medium,High,323,53
2021-02-08,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,17,24,268,Medium,Medium,275,33
2021-02-09,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,17,24,225,Medium,Medium,292,27
2021-02-10,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,10,11,201,Low,Medium,262,28
2021-02-11,Lucknow,Palassio,2,ON,Auto,Trip,ON,Off,Off,0,Winter,Winter,11,21,128,High,Low,222,25
2021-02-12,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,9,12,174,Low,Low,217,17
2021-02-13,Lucknow,Palassio,2,ON,Manual,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,9,13,420,Low,High,315,39
2021-02-14,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,11,23,409,High,High,378,66
2021-02-15,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,6,17,295,High,Medium,295,32
2021-02-16,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,11,22,268,High,Medium,267,39
2021-02-17,Lucknow,Palassio,2,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,17,21,320,Low,High,305,30
2021-02-18,Lucknow,Palassio,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,13,23,164,High,Low,205,26
2021-02-19,Lucknow,Palassio,2,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,16,19,251,Low,Medium,276,21
2021-02-20,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,11,20,356,Medium,High,378,42
2021-02-21,Lucknow,Palassio,2,ON,Manual,Normal,OFF,Off,Off,1,Winter,Winter,10,17,460,Medium,High,315,50
2021-02-22,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,7,14,209,Medium,Medium,268,30
2021-02-23,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,7,17,213,High,Medium,282,38
2021-02-24,Lucknow,Palassio,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,17,21,111,Low,Low,227,11
2021-02-25,Lucknow,Palassio,2,ON,Auto,Trip,ON,Scheduled,Scheduled,0,Winter,Winter,11,23,271,High,Medium,253,31
2021-02-26,Lucknow,Palassio,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,6,17,346,High,High,305,65
2021-02-27,Lucknow,Palassio,2,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,5,16,332,High,High,343,83
2021-02-28,Lucknow,Palassio,2,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,12,20,334,Medium,High,334,50
2021-03-01,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,25,20,312,Medium,High,395,54
2021-03-02,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,27,22,200,Medium,Low,203,22
2021-03-03,Lucknow,Palassio,3,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Summer,Winter,34,26,320,Medium,High,304,43
2021-03-04,Lucknow,Palassio,3,ON,Auto,Trip,OFF,Off,Off,0,Summer,Winter,34,26,234,Medium,Medium,278,27
2021-03-05,Lucknow,Palassio,3,ON,Auto,Normal,OFF,Off,Off,0,Summer,Winter,28,21,305,Medium,High,397,47
2021-03-06,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,1,Summer,Winter,39,22,405,High,High,332,82
2021-03-07,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,1,Summer,Winter,30,24,355,Medium,High,306,47
2021-03-08,Lucknow,Palassio,3,ON,Auto,Trip,ON,Off,Off,0,Summer,Winter,34,24,143,High,Low,221,22
2021-03-09,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,32,26,134,Medium,Low,229,24
2021-03-10,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,31,24,258,Medium,Medium,269,26
2021-03-11,Lucknow,Palassio,3,ON,Manual,Normal,OFF,Off,Off,0,Summer,Winter,30,21,265,Medium,Medium,280,29
2021-03-12,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,28,21,346,Medium,High,374,50
2021-03-13,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,1,Summer,Winter,26,24,451,Low,High,370,30
2021-03-14,Lucknow,Palassio,3,ON,Auto,Trip,ON,Off,Off,1,Summer,Winter,33,22,386,High,High,324,80
2021-03-15,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,36,26,147,High,Low,219,20
2021-03-16,Lucknow,Palassio,3,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Summer,Winter,37,25,224,High,Medium,291,37
2021-03-17,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,28,24,243,Low,Medium,259,25
2021-03-18,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,28,20,143,Medium,Low,215,19
2021-03-19,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,35,24,315,High,High,335,82
2021-03-20,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,1,Summer,Winter,36,24,486,High,High,398,81
2021-03-21,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,1,Summer,Winter,31,25,476,Medium,High,347,46
2021-03-22,Lucknow,Palassio,3,ON,Auto,Trip,ON,Off,Off,0,Summer,Winter,31,22,195,Medium,Low,244,17
2021-03-23,Lucknow,Palassio,3,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Summer,Winter,25,22,103,Low,Low,215,12
2021-03-24,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,30,22,290,Medium,Medium,278,34
2021-03-25,Lucknow,Palassio,3,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Summer,Winter,25,24,204,Low,Medium,273,29
2021-03-26,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,27,22,125,Medium,Low,220,20
2021-03-27,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,1,Summer,Winter,37,23,371,High,High,359,65
2021-03-28,Lucknow,Palassio,3,ON,Manual,Normal,ON,Off,Off,1,Summer,Winter,30,20,424,High,High,314,87
2021-03-29,Lucknow,Palassio,3,ON,Manual,Normal,OFF,Off,Off,0,Summer,Winter,36,24,113,High,Low,214,26
2021-03-30,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,26,24,192,Low,Low,233,11
2021-03-31,Lucknow,Palassio,3,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,28,24,222,Low,Medium,286,27
2021-04-01,Lucknow,Palassio,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Winter,29,20,337,Medium,High,349,47
2021-04-02,Lucknow,Palassio,4,ON,Manual,Normal,ON,Off,Off,0,Summer,Winter,25,20,200,Medium,Low,244,15
2021-04-03,Lucknow,Palassio,4,ON,Manual,Normal,ON,Off,Off,1,Summer,Winter,28,20,389,Medium,High,324,43
2021-04-04,Lucknow,Palassio,4,ON,Manual,Normal,ON,Off,Off,1,Summer,Winter,26,24,396,Low,High,310,35
2021-04-05,Lucknow,Palassio,4,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,38,26,116,High,Low,223,26
2021-04-06,Lucknow,Palassio,4,ON,Auto,Normal,ON,Off,Off,0,Summer,Winter,34,24,113,High,Low,217,28
2021-04-07,Lucknow,Palassio,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Winter,30,23,156,Medium,Low,249,21
2021-04-08,Lucknow,Palassio,4,ON,Auto,Normal,OFF,Off,Off,0,Summer,Winter,38,22,310,High,High,323,77
