Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,7,16,256,Medium,Medium,266,32
2021-01-02,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,13,23,338,High,High,378,81
2021-01-03,Lucknow,United,1,ON,Auto,Trip,ON,Off,Off,1,Winter,Winter,13,22,304,Medium,High,321,49
2021-01-04,Lucknow,United,1,ON,Auto,Trip,ON,Scheduled,Scheduled,0,Winter,Winter,11,24,278,High,Medium,277,36
2021-01-05,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,16,21,107,Medium,Low,204,17
2021-01-06,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,6,14,176,Medium,Low,235,22
2021-01-07,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,17,18,254,Low,Medium,276,24
2021-01-08,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,8,14,341,Medium,High,317,54
2021-01-09,Lucknow,United,1,ON,Manual,Trip,ON,Off,Off,1,Winter,Winter,7,13,484,Medium,High,305,45
2021-01-10,Lucknow,United,1,ON,Auto,Normal,ON,Scheduled,Scheduled,1,Winter,Winter,7,16,470,Medium,High,336,47
2021-01-11,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,13,21,242,Medium,Medium,285,32
2021-01-12,Lucknow,United,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Winter,12,21,195,Medium,Low,205,22
2021-01-13,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,10,14,107,Low,Low,249,17
2021-01-14,Lucknow,United,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,16,20,251,Low,Medium,260,29
2021-01-15,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,8,10,196,Low,Low,205,18
2021-01-16,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,15,23,470,Medium,High,350,50
2021-01-17,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,12,21,367,Medium,High,333,53
2021-01-18,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,16,23,141,Medium,Low,204,20
2021-01-19,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,8,14,257,Medium,Medium,284,29
2021-01-20,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,10,17,230,Medium,Medium,283,31
2021-01-21,Lucknow,United,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,10,10,265,Low,Medium,267,23
2021-01-22,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,7,16,240,Medium,Medium,264,32
2021-01-23,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,10,11,415,Low,High,343,32
2021-01-24,Lucknow,United,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Winter,15,19,429,Low,High,317,38
2021-01-25,Lucknow,United,1,ON,Manual,Trip,OFF,Off,Off,0,Winter,Winter,14,21,183,Medium,Low,229,15
2021-01-26,Lucknow,United,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Winter,9,15,146,Medium,Low,217,24
2021-01-27,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,10,10,148,Low,Low,235,18
2021-01-28,Lucknow,United,1,ON,Manual,Trip,ON,Off,Off,0,Winter,Winter,6,11,210,Medium,Medium,291,30
2021-01-29,Lucknow,United,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,12,21,279,Medium,Medium,252,33
2021-01-30,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,13,22,417,Medium,High,337,46
2021-01-31,Lucknow,United,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,16,21,337,Medium,High,387,48
2021-02-01,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,10,11,133,Low,Low,201,14
2021-02-02,Lucknow,United,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,5,11,273,Medium,Medium,267,26
2021-02-03,Lucknow,United,2,ON,Manual,Trip,OFF,Off,Off,0,Winter,Winter,16,21,325,Medium,High,396,47
2021-02-04,Lucknow,United,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,16,19,130,Low,Low,233,14
2021-02-05,Lucknow,United,2,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Winter,14,20,193,Medium,Low,234,21
2021-02-06,Lucknow,United,2,ON,Auto,Trip,ON,Off,Off,1,Winter,Winter,5,13,352,Medium,High,344,44
2021-02-07,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,1,Winter,Winter,7,11,393,Low,High,303,32
2021-02-08,Lucknow,United,2,ON,Auto,Trip,ON,Scheduled,Scheduled,0,Winter,Winter,12,23,214,High,Medium,254,33
2021-02-09,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,11,24,135,High,Low,202,28
2021-02-10,Lucknow,United,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,7,12,153,Medium,Low,214,22
2021-02-11,Lucknow,United,2,ON,Auto,Trip,ON,Off,Off,0,Winter,Winter,14,23,174,Medium,Low,225,22
2021-02-12,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,8,12,112,Low,Low,207,11
2021-02-13,Lucknow,United,2,ON,Auto,Trip,ON,Off,Off,1,Winter,Winter,13,18,442,Medium,High,310,46
2021-02-14,Lucknow,United,2,ON,Manual,Trip,ON,Off,Off,1,Winter,Winter,10,16,387,Medium,High,360,53
2021-02-15,Lucknow,United,2,ON,Auto,Normal,ON,Off,Off,0,Winter,Winter,11,23,238,High,Medium,285,33
2021-02-16,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,15,21,201,Medium,Medium,257,30
2021-02-17,Lucknow,United,2,ON,Manual,Normal,ON,Off,Off,0,Winter,Winter,13,23,218,High,Medium,270,37
