Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,24,22,307,Low,High,307,38
2021-01-02,Mumbai,Marketcity,1,ON,Auto,Trip,ON,Scheduled,Scheduled,1,Winter,Summer,23,24,434,Low,High,361,39
2021-01-03,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,21,23,499,Low,High,362,30
2021-01-04,Mumbai,Marketcity,1,ON,Auto,Normal,OFF,Off,Off,0,Winter,Summer,17,19,162,Low,Low,226,17
2021-01-05,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,24,21,234,Low,Medium,280,21
2021-01-06,Mumbai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,19,19,300,Low,Medium,265,21
2021-01-07,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,23,23,196,Low,Low,213,17
2021-01-08,Mumbai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,27,20,320,Medium,High,362,44
2021-01-09,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Off,Off,1,Winter,Summer,20,21,335,Low,High,377,36
2021-01-10,Mumbai,Marketcity,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,26,22,437,Low,High,304,38
2021-01-11,Mumbai,Marketcity,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,21,22,145,Low,Low,222,17
2021-01-12,Mumbai,Marketcity,1,ON,Auto,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,27,24,345,Low,High,359,34
