Date,Location,Mall,Month,On_Off_Cmd,A/M_Status,Trip_Status,Run_Status,Schedule_Mode,Time_Schedule,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Indoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-01,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,21,24,133,Low,Low,219,10
2021-01-02,Mumbai,Paladium,1,ON,Auto,Normal,OFF,Off,Off,1,Winter,Summer,26,21,304,Medium,High,314,54
2021-01-03,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,29,22,455,Medium,High,311,45
2021-01-04,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,26,21,277,Medium,Medium,282,31
2021-01-05,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,16,19,271,Low,Medium,286,27
2021-01-06,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,25,20,164,Medium,Low,242,20
2021-01-07,Mumbai,Paladium,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,27,23,147,Low,Low,218,10
2021-01-08,Mumbai,Paladium,1,ON,Auto,Trip,ON,Off,Off,0,Winter,Summer,18,24,293,Medium,Medium,294,28
2021-01-09,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,22,21,345,Low,High,335,34
2021-01-10,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,16,19,365,Low,High,342,35
2021-01-11,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,21,21,269,Low,Medium,274,22
2021-01-12,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,20,19,295,Low,Medium,274,25
2021-01-13,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,16,21,347,Medium,High,391,47
2021-01-14,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,17,21,203,Low,Medium,276,22
2021-01-15,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,0,Winter,Summer,19,24,325,Medium,High,367,52
2021-01-16,Mumbai,Paladium,1,ON,Auto,Normal,ON,Scheduled,Scheduled,1,Winter,Summer,17,23,355,Medium,High,333,52
2021-01-17,Mumbai,Paladium,1,ON,Manual,Normal,ON,Off,Off,1,Winter,Summer,17,24,378,Medium,High,390,49
2021-01-18,Mumbai,Paladium,1,ON,Manual,Normal,ON,Scheduled,Scheduled,0,Winter,Summer,27,22,271,Medium,Medium,259,26
2021-01-19,Mumbai,Paladium,1,ON,Manual,Normal,OFF,Off,Off,0,Winter,Summer,18,19,213,Low,Medium,272,26
2021-01-20,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,16,23,248,Medium,Medium,291,30
2021-01-21,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,23,21,173,Low,Low,213,19
2021-01-22,Mumbai,Paladium,1,ON,Auto,Normal,ON,Off,Off,0,Winter,Summer,22,22,112,Low,Low,231,17
